Condition,Dimension 1,Dimension 2,Dimension 3,Dimension 4,Dimension 5,Dimension 6,Dimension 7,Dimension 8,Dimension 9,Dimension 10,Dimension 11,Dimension 12,Dimension 13,Dimension 14,Dimension 15,Dimension 16,Dimension 17,Dimension 18,Dimension 19,Dimension 20,Dimension 21,Dimension 22,Dimension 23,Dimension 24,Dimension 25,Dimension 26,Dimension 27,Dimension 28,Dimension 29,Dimension 30
Abdominal Aortic Aneurysm,-0.29847,-0.08388,-0.01052,-0.05421,-0.00586,-0.03301,-0.01877,-0.00572,-0.01984,-0.01349,-0.00139,-0.02514,-0.00328,-0.0238,-0.0191,-0.00389,-0.00671,-0.0058,-0.0148,-0.00356,-0.00818,-0.01027,-0.01867,-0.01897,-0.00463,-0.00458,-0.01427,-0.00339,-0.00108,-0.00564
Abdominal Hernia,-0.07875,-0.0183,-0.00447,-0.00225,-0.01578,-0.00578,-0.00885,0.00188,-0.00297,-0.00791,-0.00521,-0.00231,0.00031,-0.02022,-0.00511,-0.00703,0.0022,-0.00421,0.00218,-0.0009,-0.00205,-0.00287,0.00019,-0.00337,0.00189,-0.00094,-0.00057,0.00058,-0.00212,0.0006
Acne,0.09803,-0.0111,-0.00629,-0.01555,0.02795,0.00817,-0.00448,0.01131,0.00112,-0.00262,-0.00225,0.00146,-0.00566,0.00151,0.00199,0.00096,0.00193,-0.00284,0.0001,-0.0005,-0.00087,-0.00087,0.00064,-0.00056,-0.00211,-0.00314,0.00034,0.00065,0.00139,-0.00043
Alcohol Misuse,0.00271,0.02484,-0.0612,-0.01003,-0.00391,-0.01285,0.0028,-0.02411,-0.00398,-0.00948,0.01324,0.00134,0.00616,-0.01303,-0.00021,0.00472,-0.0074,0.0021,-0.00089,0.00136,-0.00126,-0.00049,-0.00526,0.00279,-0.0028,-0.00358,0.00728,0.00248,0.0034,-0.00029
Alcoholic liver disease,-0.13267,0.22527,-0.636,-0.10521,-0.14376,-0.03281,0.01417,0.01019,0.0271,-0.00922,0.01609,-0.01595,-0.00704,-0.02817,0.05126,0.03893,-0.02514,-0.00202,-0.0028,0.00669,-0.01027,-0.00822,-0.03169,0.00944,-0.01493,-0.02166,0.03602,0.00789,0.02496,0.00464
Allergic and chronic rhinitis,0.0234,-0.00732,-0.00494,0.00764,0.01695,0.00298,-0.00602,0.01306,0.00306,-0.00649,-0.00832,0.00484,-0.0074,-0.00302,0.00212,0.00187,0.00015,-0.00549,-0.01036,0.00189,-0.00146,0.00373,0.00401,0.00079,-0.00324,0.00154,0.00125,-0.00097,0.00046,0.00011
Alopecia areata,0.03533,-0.00054,-0.00549,0.00294,0.01256,0.00066,-0.00106,0.00552,0.00258,-0.00189,-0.00719,0.00461,-0.0038,0.00382,-0.00366,0.006,-0.00214,0.00084,-0.00486,0.00153,-0.00273,0.00213,0.00269,0.00104,-0.00493,-0.00279,0.00325,0.002,0.00065,-0.00313
Anaemia_other,-0.14755,-0.0195,-0.02165,-0.00151,0.01908,0.02391,-0.0011,0.00665,-0.00461,0.00158,-0.00507,0.00721,0.00126,0.0124,-0.0103,-0.00559,-0.00496,-0.00375,0.00506,0.00162,0.00124,-0.00718,0.00038,-0.00061,-0.00625,-0.00237,-0.0016,-0.00118,0.0047,-0.00195
Angiodysplasia of colon,-0.28159,-0.03653,-0.09833,-0.01313,0.00254,0.01884,-0.00226,0.02382,-0.00522,-0.00704,-0.01588,0.02145,-0.00839,0.00247,-0.01929,-0.03107,-0.0242,-0.00603,0.01675,-0.02011,0.00699,-0.01714,0.005,-0.00973,-0.00618,0.00309,-0.02287,-0.00757,0.00933,-0.00044
Ankylosing spondylitis,-0.05311,-0.01324,-0.01053,0.0233,-0.00106,-0.00408,-0.01442,0.02023,0.00469,-0.00094,-0.00851,-0.00173,0.02302,-0.01652,-0.04834,0.03825,-0.0106,-0.0066,0.04092,0.01994,-0.06874,0.00701,0.00704,0.03385,0.03399,0.0243,-0.01498,0.00518,0.01081,0.01392
Anterior and Intermediate Uveitis,-0.08697,-0.00984,-0.00153,0.0171,-0.00333,0.0252,-0.00272,0.0111,0.00759,-0.00388,-0.00332,-0.00067,0.02278,-0.00104,-0.01727,0.01668,0.00085,-0.00902,0.01818,0.01258,-0.05196,0.02118,0.00066,0.03082,0.0182,0.00478,-0.01323,0.00184,0.00808,0.00753
Anxiety disorders,0.01456,-0.00225,-0.02279,0.02294,0.03323,-0.00493,0.00355,-0.01786,-0.00511,-0.0094,0.00963,0.00493,-0.00076,0.00309,0.00193,0.0004,0.007,-0.00054,0.00293,-0.00243,-0.00161,0.00077,-0.00426,-0.00317,0.00256,0.0019,0.00095,-0.0027,-0.00054,0.00028
Aplastic anaemias,-0.20118,0.01529,-0.24831,-0.07162,-0.04206,0.0635,-0.00774,0.05095,-0.02469,0.05314,-0.04881,0.02206,0.01497,0.07024,-0.16057,-0.10454,0.09243,-0.00612,-0.00864,-0.00171,0.03051,0.00368,-0.02544,-0.01496,-0.03243,0.04579,-0.03802,-0.00189,0.06301,-0.01452
Asbestosis,-0.33261,-0.15863,-0.05561,-0.07386,-0.03757,-0.10064,-0.85557,-0.22193,0.13678,0.10126,0.03829,-0.0268,-0.01096,0.08338,0.02909,0.00857,0.01848,0.00364,0.02047,0.00889,0.00799,0.00148,0.01147,0.01381,-0.00369,-0.00215,0.00613,-0.00366,0.00107,-0.00105
Asthma,0.02351,-0.00613,-0.0086,0.00273,0.02178,0.00325,-0.00535,0.00598,0.00106,-0.0046,-0.00571,0.00511,-0.00472,-0.00352,0.00051,0.00242,-0.00504,-0.00559,-0.01331,0.00248,-4e-05,0.00244,0.00159,0.001,-0.00133,0.0033,-0.00011,-0.00254,-0.00057,0.00013
Atrial Fibrillation,-0.25817,-0.07315,-0.00556,-0.04269,-0.00014,0.00418,0.01011,-0.00237,0.00535,0.02297,0.01151,0.02408,-0.00662,-0.00952,0.00298,-0.00071,0.0023,-0.00386,0.00159,-0.00238,0.00097,-0.00249,0.00023,-0.00063,-0.00095,0.00053,3e-05,-0.0014,0.0002,0.00091
Atrioventricular blocks,-0.26189,-0.07456,-0.00765,-0.03555,0.0064,0.0015,-0.00337,0.00194,0.00887,0.00808,0.00031,0.02141,0.00363,-0.02533,0.00608,-0.00748,0.01642,-0.00793,0.00873,-0.00308,-0.00195,-0.007,0.00426,0.00166,-0.00108,-0.00493,-0.00163,0.00345,0.00025,-0.00294
Autism and Asperger's syndrome,0.10856,-0.0031,-0.01298,-0.04032,0.05578,0.03492,0.0233,-0.10865,0.01349,0.03553,-0.13358,-0.01814,0.0093,-0.02063,0.01634,-0.00406,0.0058,0.0038,0.00233,-0.00482,0.00276,0.00111,0.00719,-0.01371,0.01595,0.01384,0.00788,-0.02874,0.02007,0.01118
Autoimmune liver disease,-0.12007,0.03499,-0.20097,0.0072,-0.04632,0.03475,0.00525,0.05973,0.01233,0.02688,-0.02284,-0.00111,0.01041,0.06909,-0.02635,-0.00484,-0.00969,0.01864,0.01582,0.0057,-0.0317,-0.00479,0.05222,-0.0448,0.02576,0.01622,-0.0158,-0.01485,-0.01919,-0.00078
Autonomic Neuropathy,-0.12654,0.02199,-0.03409,0.09426,0.10653,0.00849,-0.01055,0.04311,-0.0043,0.08282,0.01584,-0.05824,0.0344,-0.05534,0.00657,-0.01227,-0.00538,0.04508,0.00699,0.00833,0.00188,0.00366,-0.00149,0.00843,-0.02817,0.00483,-0.0088,-0.00861,-0.00637,0.00267
Barrett's oesophagus,-0.18625,-0.03413,-0.04957,0.04473,-0.0111,-0.00286,-0.02245,0.00351,-0.00918,-0.04749,-0.02903,0.01344,-0.01382,-0.01913,-0.00549,-0.04584,-0.06347,-0.00819,0.04062,-0.01528,0.02229,0.01662,3e-05,0.00386,1e-05,-0.00446,-0.01304,-0.00301,0.0015,0.00047
Benign Prostatic Hyperplasia,-0.19469,-0.0407,0.00231,-0.00853,-0.02288,-0.00968,-0.02291,0.00487,-0.00182,-0.02026,-0.00922,-0.01008,-0.00093,-0.03987,-0.00792,-0.01205,0.01405,-0.01035,0.00301,-0.00186,-0.00441,-0.00495,0.00082,-0.00859,0.00152,-0.00484,-0.00259,0.00416,-0.00131,0.00028
Benign essential tremor,-0.13367,-0.02972,-0.01391,0.02524,0.00834,0.01575,-0.0053,-0.00311,0.00359,-0.01641,-0.00163,-0.0036,0.00454,-0.00934,0.00278,-0.00134,0.0062,0.00014,-0.00421,0.00272,0.00477,-0.00852,-0.00023,-0.00915,0.00166,0.00141,0.00137,0.00637,-0.00562,-0.00029
Bipolar affective disorder and mania,-0.01214,0.03678,-0.03812,0.03169,0.05319,-0.01311,0.02839,-0.12406,-0.01625,-0.00565,0.01145,0.00947,0.02482,-0.00039,-0.02108,8e-05,0.00686,-0.01833,-0.01153,0.0025,0.0025,0.00214,0.04051,-0.00113,-0.02244,-0.00786,-0.01371,0.00857,0.0024,-0.00352
Bronchiectasis,-0.17963,-0.06283,-0.03197,0.03069,0.00852,0.01338,-0.03597,0.0017,-0.00098,-0.0081,-0.01236,0.02357,0.01382,-0.00311,-0.01746,0.00667,-0.03592,0.00505,-0.04445,0.00182,-0.00684,0.01442,-0.00894,-0.01706,0.008,0.01524,-0.00283,-0.00144,-0.01142,0.00113
COPD,-0.18498,-0.03504,-0.029,0.00188,0.00691,-0.00497,-0.01826,-0.01572,-0.01189,-0.00665,0.00228,0.00563,0.00472,-0.00705,-0.00746,0.00778,-0.02025,0.00142,-0.02273,0.00265,-0.0022,0.00302,-0.01058,-0.00675,0.00029,0.00696,-0.00379,0.00029,-0.00548,-0.0021
Cardiomyopathy_other,-0.26069,-0.08128,-0.02115,-0.11782,0.05053,-0.09172,0.03149,0.00698,-0.00379,0.10229,0.01177,0.16635,-0.00777,-0.04198,0.02777,0.00472,0.01236,0.00198,0.04007,0.11974,0.0291,0.04318,0.00207,-0.0199,0.0199,-0.00571,-0.00087,0.00464,0.00025,-0.00828
