disease,disease_num,system,system_num,medcodeid,descr,istest
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,5058441000006113,AAA - Abdominal aortic aneurysm,no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,300448013,"Thoracoabdominal aortic aneurysm, without mention of rupture",no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,300447015,Aortic aneurysm without mention of rupture NOS,no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,300442014,AAA - Abdominal aortic aneurysm without mention of rupture,no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,271456013,Emergency replacement of aneurysmal segment of aorta NOS,no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,640221000006110,Emergency replacement of aneurysmal segment of aorta OS,no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,349694013,Tube graft abdominal Aortic aneurysm (emergency),no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,639721000006114,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC,no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,639811000006110,Emerg replace aneurysm infrarenal aorta by anast aorta/aorta,no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,271447017,Emergency repair of aortic aneurysm,no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,300441019,Abdominal aortic aneurysm without mention of rupture,no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,349689013,Y graft of abdominal Aortic aneurysm (emergency),no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,639651000006110,Emerg repl aneurysm bifurc aorta by anast aorta to iliac a,no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,639641000006113,Emerg repl aneurysm bifurc aorta by anast aorta to fem art,no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,12450041000006113,y graft of abdominal aortic aneurysm (emergency),no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,12450841000006116,tube graft abdominal aortic aneurysm (emergency),no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,12718771000006116,abdominal aortic aneurysm without mention of rupture,no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,12759211000006117,aaa - abdominal aortic aneurysm without mention of rupture,no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,884601000006114,Abdominal aortic aneurysm,no
Abdominal Aortic Aneurysm,1,Diseases of the Circulatory System,2,271446014,Emergency replacement of aneurysmal segment of aorta,no
Abdominal Hernia,2,Diseases of the Digestive System,3,1776299016,Umbilical hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302773017,Femoral hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302772010,Unspecified femoral hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,510971000006115,Bilateral femoral hernia - unspecified,no
Abdominal Hernia,2,Diseases of the Digestive System,3,80801000006117,Unilateral recurrent femoral hernia - unspecified,no
Abdominal Hernia,2,Diseases of the Digestive System,3,80531000006110,Unilateral femoral hernia - unspecified,no
Abdominal Hernia,2,Diseases of the Digestive System,3,80521000006112,Unilateral femoral hernia - simple,no
Abdominal Hernia,2,Diseases of the Digestive System,3,510961000006110,Bilateral femoral hernia - simple,no
Abdominal Hernia,2,Diseases of the Digestive System,3,80791000006118,Unilateral recurrent femoral hernia - simple,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302764013,Simple femoral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,668621000006115,Femoral hernia - irreducible and NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,49979014,Paraumbilical hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302766010,Simple femoral hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,178602018,Paraumbilical hernia with gangrene,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302797014,Simple umbilical hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,79651000006119,Umbilical hernia with obstruction,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302786014,Paraumbilical hernia with obstruction,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302787017,Umbilical hernia with obstruction NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,79601000006118,Umbilical hernia - irreducible,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302791010,Paraumbilical hernia - irreducible,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302792015,Umbilical hernia - irreducible and NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302794019,Simple umbilical hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302796017,Simple paraumbilical hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,80781000006116,Unilateral recurrent femoral hernia - irreducible,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302798016,Unspecified umbilical hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302800011,Unspecified paraumbilical hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302801010,Unspecified umbilical hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302802015,Umbilical hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302783018,Umbilical hernia with gangrene NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,80511000006116,Unilateral femoral hernia - irreducible,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302747010,Unspecified inguinal hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,668681000006116,Femoral hernia with obstruction NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,80611000006115,Unilateral inguinal hernia - irreducible,no
Abdominal Hernia,2,Diseases of the Digestive System,3,80831000006113,Unilateral recurrent inguinal hernia - irreducible,no
Abdominal Hernia,2,Diseases of the Digestive System,3,511061000006117,Bilateral inguinal hernia - irreducible,no
Abdominal Hernia,2,Diseases of the Digestive System,3,511341000006119,Bilateral recurrent inguinal hernia - irreducible,no
Abdominal Hernia,2,Diseases of the Digestive System,3,778451000006111,Inguinal hernia - irreducible and NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302729016,Simple inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,80621000006111,Unilateral inguinal hernia - simple,no
Abdominal Hernia,2,Diseases of the Digestive System,3,353797012,Left inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,353794017,Right inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,80841000006115,Unilateral recurrent inguinal hernia - simple,no
Abdominal Hernia,2,Diseases of the Digestive System,3,511071000006112,Bilateral inguinal hernia - simple,no
Abdominal Hernia,2,Diseases of the Digestive System,3,511351000006117,Bilateral recurrent inguinal hernia - simple,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302738019,Simple inguinal hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,668611000006111,Femoral hernia - irreducible,no
Abdominal Hernia,2,Diseases of the Digestive System,3,121486017,Direct inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,778471000006118,Inguinal hernia unspecified,no
Abdominal Hernia,2,Diseases of the Digestive System,3,80631000006114,Unilateral inguinal hernia unspecified,no
Abdominal Hernia,2,Diseases of the Digestive System,3,80851000006118,Unilateral recurrent inguinal hernia unspecified,no
Abdominal Hernia,2,Diseases of the Digestive System,3,511091000006113,Bilateral inguinal hernia unspecified,no
Abdominal Hernia,2,Diseases of the Digestive System,3,511361000006115,Bilateral recurrent inguinal hernia unspecified,no
Abdominal Hernia,2,Diseases of the Digestive System,3,2536953015,Ventral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302748017,Inguinal hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,83392011,Femoral hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,76457017,Femoral hernia with gangrene,no
Abdominal Hernia,2,Diseases of the Digestive System,3,41260017,Unilateral femoral hernia with gangrene,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302754016,Femoral hernia with gangrene NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,668671000006119,Femoral hernia with obstruction,no
Abdominal Hernia,2,Diseases of the Digestive System,3,80551000006115,Unilateral femoral hernia with obstruction,no
Abdominal Hernia,2,Diseases of the Digestive System,3,109026015,Indirect inguinal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,647081000006118,Epigastric hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,66981000006118,Ventral hernia - irreducible,no
Abdominal Hernia,2,Diseases of the Digestive System,3,2537491016,Ventral hernia with gangrene,no
Abdominal Hernia,2,Diseases of the Digestive System,3,145536010,Retroperitoneal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302901014,Simple retroperitoneal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,430182013,Spigelian hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302905017,Spigelian hernia with gangrene,no
Abdominal Hernia,2,Diseases of the Digestive System,3,134651000006110,Spigelian hernia with obstruction,no
Abdominal Hernia,2,Diseases of the Digestive System,3,134621000006118,Spigelian hernia - irreducible,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302908015,Simple Spigelian hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302909011,Unspecified Spigelian hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302910018,Spigelian hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,2533148016,Perineal hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302911019,Other specified hernias of abdominal cavity,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302912014,Other specified abdominal cavity hernia with gangrene,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302913016,Other specified abdominal cavity hernia with obstruction,no
Abdominal Hernia,2,Diseases of the Digestive System,3,117790011,Sciatic hernia,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302914010,Other specified abdominal cavity hernia - irreducible,no
Abdominal Hernia,2,Diseases of the Digestive System,3,302916012,"Other specified abdominal cavity hernia, unspecified",no
Abdominal Hernia,2,Diseases of the Digestive System,3,396356015,Other specified abdominal cavity hernia NOS,no
Abdominal Hernia,2,Diseases of the Digestive System,3,162701000006116,Richter's hernia,no
