med_dis,25,15,7,5,LABEL_25,LABEL_15,LABEL_7
Atrial Fibrillation,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Heart failure,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Nonrheumatic aortic valve disorders,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Supraventricular tachycardia,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Nonrheumatic mitral valve disorders,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Cardiomyopathy_other,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Right bundle branch block combinations,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Left bundle branch block,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Dilated cardiomyopathy,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Hypertrophic Cardiomyopathy,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Atrioventricular blocks,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Ventricular tachycardia,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Rheumatic Valve Disorder,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Primary pulmonary hypertension,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Multiple valve disorder,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Pericardial Effusion,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Secondary pulmonary hypertension,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Sick sinus syndrome,0,1,2,2,"Cardiac: arrhythmia, HF and valve","Cardiac: arrhythmia, HF and valve",Cardiac and respiratory
Primary Malignancy_Bowel,1,0,3,3,Secondary malignancies,Malignancies,Malignancies
Secondary Malignancy_other,1,0,3,3,Secondary malignancies,Malignancies,Malignancies
Primary Malignancy_other,1,0,3,3,Secondary malignancies,Malignancies,Malignancies
Secondary Malignancy_Liver,1,0,3,3,Secondary malignancies,Malignancies,Malignancies
Primary Malignancy_Bone,1,0,3,3,Secondary malignancies,Malignancies,Malignancies
Secondary Malignancy_Brain,1,0,3,3,Secondary malignancies,Malignancies,Malignancies
Secondary Malignancy_Bone,1,0,3,3,Secondary malignancies,Malignancies,Malignancies
Secondary Malignancy_Lung,1,0,3,3,Secondary malignancies,Malignancies,Malignancies
Secondary Malignancy_Lymph Nodes,1,0,3,3,Secondary malignancies,Malignancies,Malignancies
Secondary Malignancy_Peritoneum,1,0,3,3,Secondary malignancies,Malignancies,Malignancies
Secondary Malignancy_Adrenal Gland,1,0,3,3,Secondary malignancies,Malignancies,Malignancies
Secondary Malignancy_Bowel,1,0,3,3,Secondary malignancies,Malignancies,Malignancies
Secondary Malignancy_Pleura,1,0,3,3,Secondary malignancies,Malignancies,Malignancies
Primary Malignancy_Multiple Sites,1,0,3,3,Secondary malignancies,Malignancies,Malignancies
Non-Hodgkin Lymphoma,2,2,4,4,Haematological,Haematological and autoimmune,"Alcohol, liver and haematological"
Secondary Thrombocytopaenia,2,2,4,4,Haematological,Haematological and autoimmune,"Alcohol, liver and haematological"
Hyposplenism,2,2,4,4,Haematological,Haematological and autoimmune,"Alcohol, liver and haematological"
Primary Thrombocytopaenia,2,2,4,4,Haematological,Haematological and autoimmune,"Alcohol, liver and haematological"
Hodgkin Lymphoma,2,2,4,4,Haematological,Haematological and autoimmune,"Alcohol, liver and haematological"
Sickle Cell Disease,2,2,4,4,Haematological,Haematological and autoimmune,"Alcohol, liver and haematological"
Other haemolytic anaemias,2,2,4,4,Haematological,Haematological and autoimmune,"Alcohol, liver and haematological"
Myelodysplastic Syndrome,2,2,4,4,Haematological,Haematological and autoimmune,"Alcohol, liver and haematological"
Hypersplenism,2,2,4,4,Haematological,Haematological and autoimmune,"Alcohol, liver and haematological"
Aplastic anaemias,2,2,4,4,Haematological,Haematological and autoimmune,"Alcohol, liver and haematological"
Thalassaemia,2,2,4,4,Haematological,Haematological and autoimmune,"Alcohol, liver and haematological"
Immunodeficiencies,2,2,4,4,Haematological,Haematological and autoimmune,"Alcohol, liver and haematological"
COPD,3,7,2,2,Respiratory and vascular,Respiratory and vascular,Cardiac and respiratory
Coronary Heart Disease (not otherwise specified),3,7,2,2,Respiratory and vascular,Respiratory and vascular,Cardiac and respiratory
Abdominal Hernia,3,7,2,2,Respiratory and vascular,Respiratory and vascular,Cardiac and respiratory
Stable Angina,3,7,2,2,Respiratory and vascular,Respiratory and vascular,Cardiac and respiratory
Myocardial Infarction,3,7,2,2,Respiratory and vascular,Respiratory and vascular,Cardiac and respiratory
Benign Prostatic Hyperplasia,3,7,2,2,Respiratory and vascular,Respiratory and vascular,Cardiac and respiratory
Peripheral Vascular Disease,3,7,2,2,Respiratory and vascular,Respiratory and vascular,Cardiac and respiratory
Unstable Angina,3,7,2,2,Respiratory and vascular,Respiratory and vascular,Cardiac and respiratory
Abdominal Aortic Aneurysm,3,7,2,2,Respiratory and vascular,Respiratory and vascular,Cardiac and respiratory
Pleural plaque,3,7,2,2,Respiratory and vascular,Respiratory and vascular,Cardiac and respiratory
Asbestosis,3,7,2,2,Respiratory and vascular,Respiratory and vascular,Cardiac and respiratory
Depression,4,6,1,1,Mental health,MH and LD,"MH, LD, allergic, skin and gynaecological"
Anxiety disorders,4,6,1,1,Mental health,MH and LD,"MH, LD, allergic, skin and gynaecological"
Substance Misuse,4,6,1,1,Mental health,MH and LD,"MH, LD, allergic, skin and gynaecological"
Schizophrenia,4,6,1,1,Mental health,MH and LD,"MH, LD, allergic, skin and gynaecological"
Bipolar affective disorder and mania,4,6,1,1,Mental health,MH and LD,"MH, LD, allergic, skin and gynaecological"
Personality disorders,4,6,1,1,Mental health,MH and LD,"MH, LD, allergic, skin and gynaecological"
Obsessive-compulsive disorder,4,6,1,1,Mental health,MH and LD,"MH, LD, allergic, skin and gynaecological"
Hyperkinetic disorders,4,6,1,1,Mental health,MH and LD,"MH, LD, allergic, skin and gynaecological"
